
广东频道,#genre#
广东卫视,http://dp.sxtv.top:88/live/bestv.php?id=gdws
深圳卫视,http://dp.sxtv.top:88/live/bestv.php?id=szws
广东卫视,http://111.230.30.193/php/lyd.php?id=6248
深圳卫视,http://111.230.30.193/php/lyd.php?id=6313
广东卫视,http://dp.sxtv.top:88/live/yfy.php?id=16
深圳卫视,http://dp.sxtv.top:88/live/yfy.php?id=17
广东少儿,http://dp.sxtv.top:88/live/yfy.php?id=63
广东珠江,http://dp.sxtv.top:88/live/yfy.php?id=65
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://hbyxmlg.picp.io:8088/tsfile/live/0126_1.m3u8
广东卫视,http://hbyxmlg.picp.io:8088/tsfile/live/0125_1.m3u8
深圳卫视,http://1.195.111.251:11190/tsfile/live/0126_1.m3u8
广东卫视 16M,http://php.jdshipin.com:8880/bst.php?id=gdwshd8m/8000000
深圳卫视 16M,http://php.jdshipin.com:8880/bst.php?id=szwshd8m/8000000
深圳卫视,http://118.114.197.4:9999/udp/239.93.0.182:5140
广东卫视,http://118.114.197.4:9999/udp/239.93.0.181:5140
广东卫视,http://59.48.75.130:3052/tsfile/live/0125_1.m3u8
深圳卫视,http://59.48.75.130:3052/tsfile/live/0126_1.m3u8
广东卫视,http://124.115.205.101:8888/newlive/live/hls/39/live.m3u8
深圳卫视,http://124.115.205.101:8888/newlive/live/hls/40/live.m3u8
深圳卫视,http://61.141.202.118:9901/tsfile/live/0126_1.m3u8
广东卫视,http://61.141.202.118:9901/tsfile/live/0125_2.m3u8
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8
广东卫视,http://171.108.239.92:8181/tsfile/live/1059_1.m3u8
深圳卫视,http://183.141.197.192:58888/rtp/233.50.201.101:5140
广东卫视,http://183.141.197.192:58888/rtp/233.50.201.102:5140
深圳卫视,http://www.furymax.top:85/rtp/239.254.96.137:8896
广东卫视,http://www.furymax.top:85/rtp/239.254.96.140:8914
广东卫视,http://101.224.32.157:9876/udp/239.45.3.230:5140
深圳卫视,http://101.224.32.157:9876/udp/239.45.3.231:5140
深圳卫视,http://58.57.21.166:9901/tsfile/live/0126_1.m3u8
广东卫视,http://58.57.21.166:9901/tsfile/live/0125_1.m3u8
广东卫视,http://171.108.239.95:8181/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://117.9.171.150:8888/rtp/225.1.1.116:5002
深圳卫视,http://117.9.171.150:8888/rtp/225.1.1.117:5002
广东卫视,http://111.160.17.2:59901/tsfile/live/0125_1.m3u8
深圳卫视,http://111.160.17.2:59901/tsfile/live/0126_1.m3u8
深圳卫视,http://111.196.150.10:20002/rtp/239.3.1.134:8020
广东卫视,http://111.196.150.10:20002/rtp/239.3.1.142:8048
深圳卫视,http://121.23.184.27:808/hls/21/index.m3u8
广东卫视,http://121.23.184.27:808/hls/23/index.m3u8
广东卫视,http://110.7.128.161:8096/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://110.7.128.161:8096/tsfile/live/0126_1.m3u8?key=txiptv
广东卫视,http://1304.hsmedia.top:8080/newlive/live/hls/28/live.m3u8
深圳卫视,http://iptv123.msns.cn:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://1.24.190.98:10080/hls/76/index.m3u8
广东卫视,http://1.24.190.98:10080/hls/79/index.m3u8
深圳卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.134:8020
广东卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.142:8048
深圳卫视,http://fxgm.fxjf.work:19901/tsfile/live/0126_1.m3u8
广东卫视,http://fxgm.fxjf.work:19901/tsfile/live/0125_1.m3u8
深圳卫视,http://nas.8211321.com:5555/rtp/239.61.3.46:9794
广东卫视,http://nas.8211321.com:5555/rtp/239.61.2.33:8192
深圳卫视,http://1b6467f415.iok.la:9931/tsfile/live/1067_1.m3u8
广东卫视,http://60.174.40.117:9901/tsfile/live/1037_1.m3u8
深圳卫视,http://60.174.40.117:9901/tsfile/live/1038_1.m3u8
深圳卫视,http://111.14.181.15:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://111.14.181.15:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://iptv.eatuo.com:9901/tsfile/live/1004_1.m3u8
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935
